LOD entries,Base forms,Grammatical category
FESCH1,Fësch,masculine noun
FICHE1,Fiche,feminine noun
FIERWEN1,fierwen,verb
FILM1,Film,masculine noun
FINANZEN1,Finanzen,feminine noun
FIR2,fir,preposition
FIR3,fir,conjunction
FIRMA1,Firma,feminine noun
FIRWAT1,firwat,adverb
FIX1,fix,adjective
FLASCH1,Fläsch,feminine noun
FLEESCH1,Fleesch,neutral noun
FLIGER1,Fliger,masculine noun
FLOTT2,flott,adjective
FLOUMAART1,Floumaart,masculine noun
FOTO1,Foto,feminine noun
FOTOGRAF1,Fotograf,masculine noun
FOTOGRAFIN1,Fotografin,feminine noun
FRA1,Fra,feminine noun
FRAI1,fräi,adjective
FRAIHUNN1,fräihunn,verb
FRAIZAIT1,Fräizäit,feminine noun
FREIDEG1,Freideg,masculine noun
FREIDES1,freides,adverb
FREIJOER1,Fréijoer,neutral noun
FREND1,Frënd,masculine noun
FRENDIN1,Frëndin,feminine noun
FRITT1,Fritt,feminine noun
FROU1,frou,adjective
FUEREN1,fueren,verb
FUSSBALL1,Fussball,masculine noun
FUSSBALLSMATCH1,Fussballsmatch,masculine noun
GANZ1,ganz,adjective
GANZ2,ganz,adverb
GAR1,gär,adverb
GARAGE1,Garage,masculine/feminine noun
GEBEESS1,Gebeess,neutral noun
GEBIEREN1,gebieren,verb
GEBUERT1,Gebuert,feminine noun
GEBUERTSDAG1,Gebuertsdag,masculine noun
GEBUERTSDATUM1,Gebuertsdatum,masculine noun
GEDICHT1,Gedicht,neutral noun
GEDRENKS1,Gedrénks,neutral noun
GEI2,Gei,feminine noun
GEINT1,géint,preposition
GELIFT1,gelift,interjection
GEMEIS1,Geméis,neutral noun
GEMENG1,Gemeng,feminine noun
GENAU1,genau,adjective
GENEE1,genee,adjective
GENIAL1,genial,adjective
GEOGRAFESCH1,geografesch,adjective
GESCHEIEN1,geschéien,verb
GESCHWESTER1,Geschwëster,noun
GESELLSCHAFTSSPILL1,Gesellschaftsspill,neutral noun
GESOND1,gesond,adjective
GIEL1,giel,adjective
GINN1,ginn,verb
GINN4,ginn,verb
GLACE2,Glace,feminine noun
GLAICHFALLS1,gläichfalls,adverb
GLAS1,Glas,neutral noun
GOEN1,goen,verb
GOLDEG1,goldeg,adjective
GRAD1,Grad,masculine noun
GRAFF1,graff,adjective
GRAMM1,Gramm,masculine noun
GRENG1,gréng,adjective
GRING1,gring,adjective
GRIPP1,Gripp,feminine noun
